empresa,rubro,direccion,ciudad,provincia,telefono,website,google_maps_url,rating,reviews_count,price_level,horarios,instagram,email,whatsapp,score_ia,observaciones,fuente,fecha_extraccion
Todo Piedras,Cristales / Minerales,"Sarmiento 2202, C1044 AAJ, Cdad. Autónoma de Buenos Aires, Argentina",AAJ,Ciudad Autónoma de Buenos Aires,011 4952-5248,,https://maps.google.com/?cid=8904704646463480619,4.7,481,,lunes: 10:00–17:00; martes: 10:00–17:00; miércoles: 10:00–17:00; jueves: 10:00–17:00; viernes: 10:00–17:00; sábado: 10:00–13:00; domingo: Cerrado,@todopiedras,,01149525248,6,,Google Places API,2026-05-29
Gruta Minerales,Cristales / Minerales,"Uruguay 817, C1015 ABQ, Cdad. Autónoma de Buenos Aires, Argentina",ABQ,Ciudad Autónoma de Buenos Aires,011 4815-1531,http://www.gruta.com.ar/,https://maps.google.com/?cid=15361028959204892408,4.7,549,,lunes: 10:00–18:00; martes: 10:00–18:00; miércoles: 10:00–18:00; jueves: 10:00–18:00; viernes: 10:00–18:00; sábado: 10:00–14:00; domingo: Cerrado,@grutaminerales,,01148151531,8,,Google Places API,2026-05-29
Prosperidad Piedras y Minerales,Cristales / Minerales,"Pres. José Evaristo Uriburu 237, C1027AAE Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4951-7148,https://www.sussesoyprosperidad.com/,https://maps.google.com/?cid=8672358025072825892,4.6,294,,lunes: 10:00–18:00; martes: 10:00–18:00; miércoles: 10:00–18:00; jueves: 10:00–18:00; viernes: 10:00–18:00; sábado: 10:00–13:00; domingo: Cerrado,@prosperidadpiedrasym,,01149517148,8,,Google Places API,2026-05-29
Minerales Congreso,Cristales / Minerales,"Mariano Castex 1277 Local 107 - Planta Baja, B1804 Ezeiza, Provincia de Buenos Aires, Argentina",Ezeiza,Provincia de Buenos Aires,011 4402-0842,https://www.mineralescongreso.com.ar/,https://maps.google.com/?cid=16032434985576630926,4.5,86,,lunes: 10:00–20:00; martes: 10:00–20:00; miércoles: 10:00–20:00; jueves: 10:00–20:00; viernes: 10:00–20:00; sábado: 10:00–20:00; domingo: 10:00–20:00,@mineralescongreso,,01144020842,8,,Google Places API,2026-05-29
Almacén de Piedras,Cristales / Minerales,"Gral. Manuel Belgrano 348, B1092DJH Buenos Aires, Provincia de Buenos Aires, Argentina",Buenos Aires,Provincia de Buenos Aires,011 4747-8597,,https://maps.google.com/?cid=4827921040011992404,4.6,70,,lunes: 10:00–19:30; martes: 10:00–19:30; miércoles: 10:00–19:30; jueves: 10:00–19:30; viernes: 10:00–19:30; sábado: 10:00–16:00; domingo: Cerrado,@almacndepiedras,,01147478597,6,,Google Places API,2026-05-29
Camino Cristal (Showroom con turno),Cristales / Minerales,"Terrada 100, B8000 Bahía Blanca, Provincia de Buenos Aires, Argentina",Bahía Blanca,Provincia de Buenos Aires,0291 526-9337,http://www.caminocristal.com.ar/,https://maps.google.com/?cid=1200068017173577899,5,16,,lunes: 8:00–20:00; martes: 8:00–20:00; miércoles: 8:00–20:00; jueves: 8:00–20:00; viernes: 8:00–20:00; sábado: 8:00–12:00; domingo: Cerrado,@caminocristalshowroo,,02915269337,7,,Google Places API,2026-05-29
Tierra De Cristales,Cristales / Minerales,"Quebracho Ladeado, Córdoba, Argentina",Quebracho Ladeado,Córdoba,0266 15-401-9708,https://www.facebook.com/vany.ratto?mibextid=ZbWKwL,https://maps.google.com/?cid=10593177097325964183,4.6,141,,lunes: Abierto 24 horas; martes: Abierto 24 horas; miércoles: Abierto 24 horas; jueves: Abierto 24 horas; viernes: Abierto 24 horas; sábado: Abierto 24 horas; domingo: Abierto 24 horas,@tierradecristales,,0266154019708,8,,Google Places API,2026-05-29
"""Hechizo Ámbar"" Piedras y Joyeria",Cristales / Minerales,"Pres. José Evaristo Uriburu 305, C1027 AAG, Cdad. Autónoma de Buenos Aires, Argentina",AAG,Ciudad Autónoma de Buenos Aires,011 4953-1182,https://hechizoambar.com/,https://maps.google.com/?cid=18384632758793557178,4.4,165,,lunes: 10:00–17:30; martes: 10:00–17:30; miércoles: 10:00–17:30; jueves: 10:00–17:30; viernes: 10:00–17:30; sábado: 10:00–13:00; domingo: Cerrado,@hechizombarpiedrasyj,,01149531182,8,,Google Places API,2026-05-29
Amatista Cristales,Cristales / Minerales,"3 de Febrero 1844, S2000 Rosario, Santa Fe, Argentina",Rosario,Santa Fe,0341 15-597-5488,https://linktr.ee/AmatistaCristales?fbclid=PAY2xjawJWtA5leHRuA2FlbQIxMQABpvVuTYY_fnGk5ecVAhSQN8lv-m_JuLrFdq0YrtDp8hJVEUdLFLEIL4e0xg_aem__CiavV24i8_Mu-0xJ83OAQ,https://maps.google.com/?cid=8079045192087402468,4.9,65,,lunes: 16:00–19:00; martes: 10:00–17:00; miércoles: 16:00–19:00; jueves: 10:00–17:00; viernes: 16:00–19:00; sábado: 10:00–13:00; domingo: Cerrado,@amatistacristales,,0341155975488,8,,Google Places API,2026-05-29
Piedras Tigre,Cristales / Minerales,"Los eucaliptus 1200 puerto de frutos galeria 40 local 82 esquina los sauces, Los Eucaliptus y, B1648 Tigre, Provincia de Buenos Aires, Argentina",Tigre,Provincia de Buenos Aires,011 6488-2732,http://www.piedrastigre.com/,https://maps.google.com/?cid=15936913455860657480,4.6,28,,lunes: 10:00–18:00; martes: 10:00–18:00; miércoles: 10:00–18:00; jueves: 10:00–18:00; viernes: 10:00–18:00; sábado: 10:00–19:00; domingo: 10:00–19:00,@piedrastigre,,01164882732,8,,Google Places API,2026-05-29
