empresa,rubro,direccion,ciudad,provincia,telefono,website,google_maps_url,rating,reviews_count,price_level,horarios,instagram,email,whatsapp,score_ia,observaciones,fuente,fecha_extraccion
El Rey del Sahumerio,Tienda Holística / Sahumerios,"Sarmiento 2201, C1044AAI Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 2175-2914,http://www.elreydelsahumerio.com.ar/,https://maps.google.com/?cid=7916324836831715358,4.2,1501,,lunes: 8:00–19:00; martes: 8:00–19:00; miércoles: 8:00–19:00; jueves: 8:00–19:00; viernes: 8:00–19:00; sábado: 8:00–18:00; domingo: Cerrado,@elreydelsahumerio,nuvempago@2x.png,01121752914,8,,Google Places API,2026-05-29
El Mundo del Sahumerio,Tienda Holística / Sahumerios,"Sarmiento 2496, C1044AAN Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4951-6420,https://lacasadelsahumerio.com.ar/,https://maps.google.com/?cid=15672785273918042727,4.4,94,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 9:00–14:00; domingo: Cerrado,@elmundodelsahumerio,elfaraon_sheylas@hotmail.com,01149516420,8,,Google Places API,2026-05-29
El faraón del sahumerio,Tienda Holística / Sahumerios,"Av. Corrientes 2224, C1046 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 5463-9079,,https://maps.google.com/?cid=3083074308700421594,4.5,221,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 9:00–14:00; domingo: 9:00–13:00,@elfarandelsahumerio,,01154639079,6,,Google Places API,2026-05-29
La casa del sahumerio,Tienda Holística / Sahumerios,"Av. Corrientes 2250, C1046 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 3783-2928,http://lacasadelsahumerio.com.ar/,https://maps.google.com/?cid=16484474437859495970,4.3,130,,lunes: 8:30–19:00; martes: 8:30–19:00; miércoles: 8:30–19:00; jueves: 8:30–19:00; viernes: 8:30–19:00; sábado: 8:30–17:00; domingo: 9:00–13:00,@lacasadelsahumerio,elfaraon_sheylas@hotmail.com,01137832928,8,,Google Places API,2026-05-29
La Botica Milagrosa Rivadavia 2651,Tienda Holística / Sahumerios,"Av. Rivadavia 2651, C1034 ACF, Cdad. Autónoma de Buenos Aires, Argentina",ACF,Ciudad Autónoma de Buenos Aires,011 4951-2020,http://www.laboticamilagrosa.com.ar/,https://maps.google.com/?cid=18065971071057608373,4.3,522,,lunes: 9:00–19:00; martes: 9:00–19:00; miércoles: 9:00–19:00; jueves: 9:00–19:00; viernes: 9:00–19:00; sábado: 9:00–18:00; domingo: Cerrado,@laboticamilagrosariv,,01149512020,8,,Google Places API,2026-05-29
Aromas Mágicos srl uriburu 427,Tienda Holística / Sahumerios,"Pres. José Evaristo Uriburu 427, C1027 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 6236-0427,https://aromasmagicos.com.ar/,https://maps.google.com/?cid=2505364424525977186,4.5,81,,lunes: 8:30–18:30; martes: 8:30–18:30; miércoles: 8:30–18:30; jueves: 8:30–18:30; viernes: 8:30–18:30; sábado: 9:00–14:00; domingo: Cerrado,@aromasmgicossrluribu,,01162360427,8,,Google Places API,2026-05-29
"Sahumerios Somali-Venta de sahumerios, velas y regaleria",Tienda Holística / Sahumerios,"Av. Jujuy 1399, C1247 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4941-5304,http://www.sahumeriosomali.com.ar/,https://maps.google.com/?cid=6746830520118015335,4.7,222,,lunes: 10:00–17:00; martes: 10:00–17:00; miércoles: 10:00–17:00; jueves: 10:00–17:00; viernes: 10:00–17:00; sábado: 8:00–14:00; domingo: Cerrado,@sahumeriossomalivent,,01149415304,8,,Google Places API,2026-05-29
La Casa del Sahumerio Floresta,Tienda Holística / Sahumerios,"Joaquín V. González 374, C2301 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 7151-5736,,https://maps.google.com/?cid=3649499106710663498,4.4,19,,lunes: 8:00–19:00; martes: 8:00–19:00; miércoles: 8:00–19:00; jueves: 8:00–19:00; viernes: 8:00–19:00; sábado: 8:00–15:00; domingo: 9:00–13:00,@lacasadelsahumeriofl,,01171515736,5,,Google Places API,2026-05-29
Vishnu - Mayorista de Sahumerios,Tienda Holística / Sahumerios,"Autopista Córdoba-Pilar/Rosario, Polo 52 Parque Industrial, Au 9, X5006 Córdoba, Argentina",Córdoba,Córdoba,0351 768-6008,https://www.vishnu.com.ar/,https://maps.google.com/?cid=2322772405792242817,4.9,50,,"lunes: 9:00–13:30, 14:00–16:00; martes: 9:00–13:30, 14:00–16:00; miércoles: 9:00–13:30, 14:00–16:00; jueves: 9:00–13:30, 14:00–16:00; viernes: 9:00–13:30, 14:00–16:00; sábado: Cerrado; domingo: Cerrado",@vishnumayoristadesah,info@vishnu.com.ar,03517686008,8,,Google Places API,2026-05-29
SAHUFAL,Tienda Holística / Sahumerios,"C. Domingo Faustino Sarmiento 81 SUR, J5400 San Juan, Argentina",San Juan,San Juan,0264 480-3959,https://sahufal.com.ar/,https://maps.google.com/?cid=13522741686462121929,4.9,189,,lunes: 9:00–17:00; martes: 9:00–17:00; miércoles: 9:00–17:00; jueves: 9:00–17:00; viernes: 9:00–17:00; sábado: 9:00–14:00; domingo: Cerrado,@sahufal,administracion@sahufal.com.ar,02644803959,8,,Google Places API,2026-05-29
