empresa,rubro,direccion,ciudad,provincia,telefono,website,google_maps_url,rating,reviews_count,price_level,horarios,instagram,email,whatsapp,score_ia,observaciones,fuente,fecha_extraccion
Bastet Formosa Centro Holistico y Almacén Natural,Tienda Holística / Sahumerios,"Fotheringham 4535, P3600IAI Formosa, Argentina",Formosa,Formosa,0370 482-8176,http://facebook.com/bastetfsa,https://maps.google.com/?cid=16322683754781927034,5,7,,"lunes: 10:00–13:00, 17:00–20:00; martes: 10:00–13:00, 17:00–20:00; miércoles: 10:00–13:00, 17:00–20:00; jueves: 10:00–13:00, 17:00–20:00; viernes: 10:00–13:00, 17:00–20:00; sábado: 10:00–13:00, 17:00–20:00; domingo: Cerrado",@bastetformosacentroh,,03704828176,7,,Google Places API,2026-05-29
Saphirus Formosa Lucari I,Tienda Holística / Sahumerios,"España 1412, P3600 Formosa, Argentina",Formosa,Formosa,0370 486-0178,https://lucari.com.ar/,https://maps.google.com/?cid=10353754441816438010,4.8,19,,"lunes: 8:00–12:30, 16:30–20:00; martes: 8:00–12:30, 16:30–20:00; miércoles: 8:00–12:30, 16:30–20:00; jueves: 8:00–12:30, 16:30–20:00; viernes: 8:00–12:30, 16:30–20:00; sábado: 9:00–14:00; domingo: Cerrado",@saphirusformosalucar,,03704860178,7,,Google Places API,2026-05-29
Sabor y Aroma Autoservicio saludable,Tienda Holística / Sahumerios,"Luis Fontana 515, P3600 Formosa, Argentina",Formosa,Formosa,0370 408-0688,https://www.facebook.com/saboryaromafsa/,https://maps.google.com/?cid=6282353768296506459,4.6,136,,"lunes: 8:00–12:30, 17:00–21:00; martes: 8:00–12:30, 17:00–21:00; miércoles: 8:00–12:30, 17:00–21:00; jueves: 8:00–12:30, 17:00–21:00; viernes: 8:00–12:30, 17:00–21:00; sábado: 8:00–12:30, 17:00–21:00; domingo: Cerrado",@saboryaromaautoservi,,03704080688,8,,Google Places API,2026-05-29
SABOR Y AROMA Distribuidora,Tienda Holística / Sahumerios,"av.28 de junio 85 (continuacion antartida, Av. 28 de Junio 85, P3600 Formosa, Argentina",Formosa,Formosa,0370 462-1563,https://distribuidorafsa.saboryaroma.com/,https://maps.google.com/?cid=3917038065406656687,4.5,44,,"lunes: 8:00–12:30, 17:00–21:00; martes: 8:00–12:30, 17:00–21:00; miércoles: 8:00–12:30, 17:00–21:00; jueves: 8:00–12:30, 17:00–21:00; viernes: 8:00–12:30, 17:00–21:00; sábado: 8:00–12:30, 17:00–21:00; domingo: Cerrado",@saboryaromadistribui,,03704621563,8,,Google Places API,2026-05-29
HASSO Solución en Limpieza,Tienda Holística / Sahumerios,"Brandsen 1595, P3600 Formosa, Argentina",Formosa,Formosa,0370 463-1096,http://www.hasso.com.ar/,https://maps.google.com/?cid=9543937679915950246,4.7,222,,"lunes: 8:00–13:00, 17:00–20:00; martes: 8:00–13:00, 17:00–20:00; miércoles: 8:00–13:00, 17:00–20:00; jueves: 8:00–13:00, 17:00–20:00; viernes: 8:00–13:00, 17:00–20:00; sábado: 8:00–14:00; domingo: Cerrado",@hassosolucinenlimpie,,03704631096,8,,Google Places API,2026-05-29
Alma infinita sahumerios,Tienda Holística / Sahumerios,"Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=6698687010204138904,,,,,@almainfinitasahumeri,,,1,,Google Places API,2026-05-29
Shanti Energía&Armonía,Tienda Holística / Sahumerios,"Av. Dr. Luis Gutnisky, P3600 Formosa, Argentina",Formosa,Formosa,0261 691-9986,,https://maps.google.com/?cid=3554521311565762069,,,,"lunes: 8:00–12:30, 16:00–20:30; martes: 8:00–12:30, 16:00–20:30; miércoles: 8:00–12:30, 16:00–20:30; jueves: 8:00–12:30, 16:00–20:30; viernes: 8:00–12:30, 16:00–20:30; sábado: 8:00–12:30, 16:00–20:30; domingo: Cerrado",@shantienergaarmona,,02616919986,3,,Google Places API,2026-05-29
La casa del sahumerio,Tienda Holística / Sahumerios,"Av. Corrientes 2250, C1046 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 3783-2928,http://lacasadelsahumerio.com.ar/,https://maps.google.com/?cid=16484474437859495970,4.3,130,,lunes: 8:30–19:00; martes: 8:30–19:00; miércoles: 8:30–19:00; jueves: 8:30–19:00; viernes: 8:30–19:00; sábado: 8:30–17:00; domingo: 9:00–13:00,@lacasadelsahumerio,,01137832928,8,,Google Places API,2026-05-29
Shanti Energía & Armonía,Tienda Holística / Sahumerios,"Moreno 724, P3600OCX Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=1365824793689610945,,,,lunes: 8:30–0:30; martes: 8:30–0:30; miércoles: 8:30–0:30; jueves: 8:30–0:30; viernes: 8:00–0:30; sábado: 8:30–0:30; domingo: Cerrado,@shantienergaarmona,,,1,,Google Places API,2026-05-29
Santeria Catolica anexo regaleria,Tienda Holística / Sahumerios,"Echegaray 1189, P3600 Formosa, Argentina",Formosa,Formosa,0370 426-6316,,https://maps.google.com/?cid=9292057875381327176,4.1,18,,"lunes: 9:00–12:00, 17:00–21:00; martes: 9:00–12:00, 17:00–21:00; miércoles: 9:00–12:00, 17:00–21:00; jueves: 9:00–12:00, 17:00–21:00; viernes: 9:00–12:00, 17:00–21:00; sábado: 9:00–13:00; domingo: Cerrado",@santeriacatolicaanex,,03704266316,5,,Google Places API,2026-05-29
Santería CURIMBA,Tienda Holística / Sahumerios,"Antonio Danieri 975, P3600 Formosa, Argentina",Formosa,Formosa,0370 438-4233,,https://maps.google.com/?cid=5496267403222374701,5,1,,,@santeracurimba,,03704384233,5,,Google Places API,2026-05-29
Jugeteria Divino Niño,Tienda Holística / Sahumerios,"P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=17884057962365369974,4.3,11,,,@jugeteriadivinonio,,,3,,Google Places API,2026-05-29
Renata merceria y santeria,Tienda Holística / Sahumerios,"Rivadavia 732, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=14549270169356066381,4.4,28,,"lunes: 9:00–13:00, 16:00–20:30; martes: 9:00–13:00, 16:00–20:30; miércoles: 9:00–13:00, 16:00–20:30; jueves: 9:00–13:00, 16:00–20:30; viernes: 9:00–13:00, 16:00–20:30; sábado: 9:00–13:00, 17:00–20:30; domingo: Cerrado",@renatamerceriaysante,,,4,,Google Places API,2026-05-29
Kiosco Divino Niño,Tienda Holística / Sahumerios,"Edgardo Sánchez 1165, P3600 Formosa, Argentina",Formosa,Formosa,0370 403-6593,,https://maps.google.com/?cid=4049104197386777918,4.2,6,,lunes: Abierto 24 horas; martes: Abierto 24 horas; miércoles: Abierto 24 horas; jueves: Abierto 24 horas; viernes: Abierto 24 horas; sábado: Abierto 24 horas; domingo: Abierto 24 horas,@kioscodivinonio,,03704036593,5,,Google Places API,2026-05-29
Santería Vírgen de Lourdes,Tienda Holística / Sahumerios,"P3610 Clorinda, Formosa, Argentina",Clorinda,Formosa,,,https://maps.google.com/?cid=10578205308290037505,4.8,5,,,@santeravrgendelourde,,,3,,Google Places API,2026-05-29
